3_PerformanceRating,4_PerformanceRating,Age 18 - 25,Age 25 - 32,Age 32 - 37,Age 37 - 44,Age 44 - 60,Attrition_No,Attrition_Yes,Divorced,Education_1,Education_2,Education_3,Education_4,Education_5,EnvironmentSatisfaction_1,EnvironmentSatisfaction_2,EnvironmentSatisfaction_3,EnvironmentSatisfaction_4,Female,Human Resources,JobSatisfaction_1,JobSatisfaction_2,JobSatisfaction_3,JobSatisfaction_4,Male,Married,OverTime_No,OverTime_Yes,RelationshipSatisfaction_1.0,RelationshipSatisfaction_2.0,RelationshipSatisfaction_3.0,RelationshipSatisfaction_4.0,Research & Development,Sales,Single,Stock Option No,Stock Option Yes,TotalWorkingYears_high,TotalWorkingYears_low,TotalWorkingYears_med,TrainingTimesLastYear_high,TrainingTimesLastYear_low,TrainingTimesLastYear_med,YearsAtCompany_high,YearsAtCompany_low,YearsAtCompany_med,YearsInCurrentRole_high,YearsInCurrentRole_low,YearsInCurrentRole_med,YearsWithCurrManager_high,YearsWithCurrManager_low,YearsWithCurrManager_med,close,fair high,far,high daily rate,hourly beyond 95,hourly rate 0 - 45,hourly rate 45 - 75,hourly rate 75 - 95,low daily rate,low income,median distance
True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True
False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True
True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False
True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True
True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,True,False,True,False,False,False,True,False,False,False
True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,False,True,False,False,False,True,False,False,False
True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False
False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True
True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False
True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,True,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True
True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False
True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True
True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False
True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True
True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,True
False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True
True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True
True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,False
True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,True,False,False
False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False
False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,True,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True
False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False
True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True
True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True
False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False
True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False
True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True
True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False
True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,False,False,False,False
False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True
True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True
True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True
True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,True
True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,True
True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,True
False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,True,False,False,True,False,False,False,False
True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True
True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False
True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False
True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,True
True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True
True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False
True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True
False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False
True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,True,False,False,False,True,False,False,False
True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False
True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True
True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,True,False,False,False,True,False,False,False
True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False
True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False
False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,True,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,False,False,False,False,True,False,True,False,False
True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False
True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False
True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,True
False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False
True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False
False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,True
True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False
True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True
True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False
False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False
True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False
True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True
True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True
True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False
True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True
True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True
False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,False
True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,True,False
True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True
